admire_count,collect_count,comment_count,digg_count,play_count,share_count
0,870,309,4758,0,493
2,4255,2105,23806,0,2916
2,6430,1337,31004,0,2514
0,2822,2978,16095,0,1189
1,1768,545,6513,0,1366
14,105838,7266,147279,0,52437
0,433,91,2238,0,377
0,795,170,6458,0,417
0,760,321,4049,0,687
5,3927,901,25622,0,2532
1,1928,328,13918,0,905
0,2503,713,8412,0,1912
1,540,126,3640,0,398
2,15931,754,20460,0,8748
0,419,126,4023,0,917
0,576,457,3430,0,257
0,606,122,2543,0,433
0,8459,839,20128,0,6004
1,551,178,2728,0,382
0,1334,226,5503,0,1015
4,7126,1229,38762,0,4752
0,1051,99,2737,0,550
4,4318,1182,22996,0,1923
0,607,124,2438,0,362
0,192,179,2127,0,152
0,2639,137,7676,0,1305
0,5407,119,8233,0,2862
0,809,105,3846,0,489
0,163,134,2150,0,157
0,4512,211,9132,0,2300
0,503,82,3613,0,220
4,25322,1536,34698,0,12965
0,448,311,3419,0,313
0,105,104,1531,0,100
0,3389,203,6435,0,2217
0,983,479,8120,0,912
0,629,176,4373,0,556
0,1422,2279,8422,0,740
1,13872,659,40007,0,8136
0,5349,1065,16924,0,2583
0,2511,591,18202,0,1183
0,823,938,9821,0,1619
0,561,74,2540,0,337
0,9796,854,20266,0,6079
0,612,358,4547,0,598
0,2468,151,7352,0,1566
0,613,290,3844,0,324
0,2249,400,9147,0,1946
0,572,216,4731,0,604
0,1823,352,9596,0,1031
0,238,231,2483,0,287
0,9939,1378,50868,0,5661
1,3998,760,36726,0,3171
0,999,258,5914,0,542
0,928,298,5696,0,562
0,848,931,6574,0,1067
0,1079,293,4670,0,435
0,3982,785,28055,0,1819
0,1767,151,6098,0,1294
0,473,137,2923,0,384
0,387,152,2328,0,325
0,4559,2863,34005,0,3066
0,2015,392,10355,0,1745
2,11058,7224,82072,0,9212
0,1125,470,8474,0,566
0,1140,1043,8059,0,673
0,1644,4062,10710,0,1039
0,7576,4356,34617,0,4721
0,401,148,2607,0,274
0,2152,389,15483,0,1256
0,4533,584,42730,0,1779
0,1833,386,8417,0,1680
0,6443,1657,42079,0,5074
0,3292,202,8476,0,1690
0,760,167,5571,0,670
0,1310,353,9372,0,939
0,15422,1034,58770,0,14428
0,622,334,5897,0,412
0,5776,6313,93084,0,8585
0,776,206,3061,0,641
1,5312,337,17279,0,4339
0,423,616,3276,0,690
1,6649,3069,30558,0,11915
3,35403,11664,219666,0,26672
1,5929,2234,38065,0,4429
0,751,405,7468,0,302
0,502,300,3907,0,873
0,2697,1107,17719,0,1411
0,5812,393,18159,0,3384
0,932,308,8838,0,668
0,403,187,2922,0,532
0,890,610,6932,0,430
0,542,322,4248,0,689
0,379,183,2824,0,282
0,1252,454,7130,0,715
0,2760,369,12042,0,2120
0,4018,357,12628,0,2614
0,1490,1078,10764,0,1180
0,3981,1415,29928,0,3751
0,452,179,3531,0,301
0,1109,160,4857,0,750
0,34596,1642,64483,0,21274
0,335,155,2553,0,291
0,817,180,4584,0,703
0,309,213,2618,0,220
0,1119,284,4873,0,1063
0,35377,8692,201562,0,13845
0,374,331,2729,0,388
1,5355,1247,49354,0,4665
0,235,160,2367,0,145
0,487,150,2896,0,623
0,495,107,3301,0,423
0,2656,514,12406,0,2210
0,382,322,3041,0,237
0,2412,191,7338,0,1558
0,3386,766,19594,0,1071
0,1179,392,4364,0,812
0,2009,145,6292,0,1546
0,3027,674,18166,0,1526
0,3353,359,11211,0,2096
0,7696,506,23673,0,5008
